user_id,item_id,timestamp
u0,i7,1700546430
u0,i7,1700546945
u0,i3,1700548495
u0,i7,1700550168
u1,i1,1700410217
u1,i1,1700410765
u1,i17,1700411382
u1,i17,1700413965
u1,i17,1700416466
u1,i17,1700416798
u2,i5,1700912135
u2,i11,1700912635
u2,i15,1700915962
u2,i0,1700918087
u2,i11,1700920602
u2,i0,1700922062
u3,i15,1700194469
u3,i6,1700196156
u3,i10,1700199752
u3,i7,1700200571
u3,i17,1700202862
u3,i6,1700205615
u3,i3,1700209158
u4,i6,1700130832
u4,i13,1700132794
u4,i13,1700135839
u4,i10,1700139170
u4,i2,1700140863
u4,i10,1700140971
u4,i13,1700143403
u4,i10,1700145945
u4,i13,1700147529
u5,i4,1700046378
u5,i18,1700048763
u5,i18,1700049758
u5,i4,1700051965
u5,i19,1700054450
u5,i4,1700054580
u5,i18,1700055995
u5,i4,1700059267
u5,i19,1700061648
u5,i19,1700061926
u6,i4,1700639481
u6,i4,1700639941
u6,i19,1700640326
u6,i19,1700642567
u6,i19,1700645485
u6,i4,1700648785
u6,i19,1700651297
u7,i10,1700650083
u7,i5,1700651338
u7,i10,1700654819
u7,i8,1700656915
u7,i13,1700658959
u7,i2,1700660830
u8,i13,1700947553
u8,i4,1700948616
u8,i10,1700948920
u9,i14,1700071046
u9,i13,1700071735
u9,i3,1700075246
u9,i3,1700077154
u9,i7,1700080434
u10,i0,1700778770
u10,i1,1700779194
u10,i2,1700782524
u10,i15,1700783772
u10,i0,1700784263
u10,i11,1700785920
u11,i10,1700354447
u11,i10,1700354862
u11,i8,1700356974
u11,i11,1700358471
u11,i8,1700359955
u11,i8,1700361029
u11,i16,1700364493
u11,i2,1700365118
u11,i13,1700366318
u11,i5,1700366842
u12,i17,1700977704
u12,i1,1700980836
u12,i1,1700983308
u13,i0,1700159375
u13,i0,1700161711
u13,i11,1700164850
u13,i0,1700165278
u13,i0,1700165823
u13,i11,1700167913
u13,i0,1700170507
u14,i17,1700294396
u14,i1,1700295698
u14,i17,1700298635
u14,i1,1700299561
u14,i1,1700300039
u14,i17,1700303386
